Name,Date,Amount
User_146,2017-10-09,96.91
User_351,2014-11-18,97.1
User_281,2014-06-16,98.56
User_563,2020-08-07,103.11
User_1890,2016-06-14,101.37
User_1933,2021-05-04,104.19
User_312,2021-12-12,92.45
User_353,2017-10-04,102.5
User_1301,2022-05-10,95.13
User_568,2022-03-21,105.74
User_873,2020-01-26,104.48
User_624,2023-11-27,94.3
User_512,2020-12-28,91.21
User_1753,2024-05-10,96.39
User_941,2019-10-30,96.33
User_1087,2020-09-01,94.79
User_5,2024-02-16,94.79
User_889,2015-02-07,92.06
User_966,2023-03-22,92.55
User_235,2019-08-18,100.97
User_550,2024-03-31,107.6
User_27,2023-08-11,109.91
User_1942,2018-05-14,105.72
User_1411,2016-09-19,90.73
User_1702,2019-06-05,100.35
User_872,2018-02-24,104.83
User_812,2015-06-15,103.15
User_527,2023-06-07,95.39
User_655,2021-08-31,92.33
User_629,2014-12-03,106.05
User_83,2014-11-12,103.75
User_1485,2023-07-28,102.81
User_124,2023-07-26,102.57
User_608,2021-01-25,98.46
User_1771,2018-10-22,101.55
User_1499,2018-03-01,104.85
User_1466,2021-05-16,98.72
User_854,2023-09-29,106.79
User_1758,2022-12-03,102.49
User_1606,2023-10-19,93.88
User_1067,2020-10-18,90.68
User_1575,2018-06-03,109.09
User_1449,2019-06-14,109.94
User_263,2016-01-04,94.69
User_818,2018-04-13,99.02
User_879,2014-10-01,97.02
User_162,2015-07-17,92.13
User_119,2020-08-21,99.6
User_956,2017-07-07,91.54
User_1041,2019-03-21,107.79
User_1850,2022-03-13,97.47
User_994,2014-12-19,108.46
User_1958,2020-02-16,95.08
User_180,2020-11-20,105.25
User_961,2024-01-22,105.83
User_1717,2014-11-12,90.83
User_532,2019-12-21,108.52
User_338,2019-01-01,108.76
User_397,2016-09-10,104.02
User_1409,2019-10-11,95.37
User_1158,2022-12-12,106.75
User_511,2017-04-14,108.33
User_874,2018-08-10,107.35
User_1417,2022-11-17,103.69
User_1512,2018-09-24,99.2
User_157,2018-11-21,91.94
User_531,2022-09-05,98.03
User_1440,2014-11-27,109.67
User_1549,2017-11-22,108.75
User_589,2019-12-07,93.04
User_1432,2020-11-28,101.35
User_615,2022-10-09,97.66
User_39,2023-12-15,98.68
User_36,2020-01-08,102.39
User_1801,2021-04-19,104.73
User_777,2016-07-14,104.46
User_1277,2014-12-23,91.27
User_1739,2021-01-11,93.77
User_361,2018-09-19,105.93
User_49,2018-06-20,98.02
User_1408,2021-03-02,107.39
User_1576,2014-12-04,100.2
User_897,2023-10-19,101.19
User_515,2021-03-11,103.9
User_907,2020-06-21,108.41
User_1197,2019-04-03,98.41
User_819,2020-04-15,91.39
User_1211,2015-10-10,92.57
User_397,2018-08-23,101.95
User_1175,2018-11-02,91.42
User_1251,2019-04-11,100.89
User_534,2017-11-07,100.82
User_830,2023-04-22,90.71
User_1571,2021-06-01,103.88
User_380,2022-04-06,109.65
User_1205,2016-05-04,92.18
User_242,2023-02-06,96.74
User_630,2020-11-09,104.72
User_1345,2014-08-03,96.16
User_1224,2023-05-01,101.55
User_494,2018-04-18,106.43
User_775,2019-11-28,96.45
User_68,2015-07-03,104.66
User_1749,2020-07-05,101.63
User_1644,2020-12-20,102.28
User_748,2023-08-25,100.88
User_1152,2015-11-22,109.09
User_238,2023-07-27,96.64
User_1083,2023-05-15,106.97
User_1683,2020-12-05,90.3
User_281,2024-02-07,101.28
User_1474,2020-06-09,98.22
User_62,2018-12-03,98.03
User_725,2024-02-27,95.46
User_825,2014-09-11,105.17
User_1991,2018-01-26,100.92
User_806,2016-06-16,94.78
User_1800,2020-10-27,104.71
User_1027,2023-05-16,108.47
User_367,2020-06-02,94.09
User_1938,2015-12-31,105.78
User_1637,2022-01-06,103.67
User_154,2022-08-13,100.0
User_108,2014-11-28,108.44
User_641,2016-07-16,95.85
User_894,2016-03-23,99.34
User_1171,2020-01-13,95.63
User_827,2018-09-13,96.51
User_509,2019-12-08,103.74
User_1606,2017-03-21,97.57
User_700,2015-07-26,105.46
User_839,2021-10-13,107.27
User_1412,2019-11-23,95.73
User_102,2024-02-06,102.3
User_464,2019-12-19,91.87
User_1917,2016-07-21,96.54
User_407,2016-03-06,103.07
User_729,2023-04-08,94.29
User_926,2016-11-03,108.31
User_296,2023-12-07,100.23
User_1249,2019-02-15,93.82
User_1691,2015-12-29,103.63
User_147,2024-04-26,107.13
User_751,2015-01-04,102.82
User_493,2022-07-13,91.5
User_1440,2020-05-06,105.83
User_513,2015-08-17,104.76
User_244,2023-08-01,98.0
User_1996,2021-09-11,95.99
User_1598,2022-09-06,100.98
User_1426,2019-12-19,97.07
User_269,2023-05-14,104.49
User_1612,2022-04-21,90.12
User_299,2022-01-31,95.58
User_856,2023-02-27,104.6
User_1600,2014-08-02,107.25
User_1468,2020-04-06,102.22
User_269,2015-01-07,102.51
User_1720,2019-01-27,101.01
User_1205,2020-10-23,101.01
User_481,2015-01-16,94.19
User_713,2021-03-13,103.64
User_1733,2019-01-26,100.37
User_635,2018-07-04,93.55
User_1453,2020-12-31,94.97
User_1206,2015-01-03,93.64
User_372,2016-01-11,106.61
User_1178,2018-05-29,93.94
User_256,2014-10-07,99.43
User_176,2016-07-12,90.55
User_746,2018-03-01,106.57
User_128,2017-04-16,101.3
User_1445,2015-10-10,104.81
User_1844,2022-03-10,105.16
User_727,2017-06-02,107.61
User_394,2018-09-23,98.29
User_338,2014-06-11,104.3
User_1289,2015-08-21,109.49
User_1287,2016-06-21,99.33
User_1252,2018-01-12,108.79
User_722,2021-07-05,105.16
User_144,2015-02-23,109.12
User_915,2016-01-30,103.6
User_369,2017-01-02,107.15
User_519,2018-11-02,97.68
User_89,2021-01-01,106.6
User_472,2018-01-12,90.76
User_1220,2017-10-20,100.08
User_955,2017-09-22,102.92
User_1136,2016-02-01,92.65
User_758,2021-10-15,108.94
User_1913,2020-07-05,108.58
User_1191,2017-09-07,96.44
User_485,2018-02-05,92.05
User_1620,2014-11-17,99.89
User_1938,2015-05-18,90.86
User_866,2023-07-18,95.21
User_1287,2020-09-13,97.93
User_1572,2022-12-09,102.38
User_975,2024-04-19,104.45
User_1839,2018-12-29,106.51
User_762,2018-06-29,92.32
User_1951,2015-04-21,103.38
User_696,2015-06-14,91.13
User_1868,2015-07-12,98.72
User_656,2015-03-02,96.2
User_500,2020-06-30,101.65
User_842,2024-04-09,96.72
User_1376,2021-03-19,92.64
User_820,2021-10-29,101.87
User_284,2016-09-13,108.56
User_1855,2022-01-07,104.77
User_1142,2021-06-23,104.11
User_924,2019-12-27,98.82
User_1944,2020-09-23,106.75
User_1396,2016-02-09,109.09
User_1548,2020-06-27,99.35
User_134,2023-12-05,105.52
User_1344,2018-01-13,108.98
User_422,2016-01-17,101.59
User_1904,2019-02-01,97.24
User_930,2019-05-07,95.6
User_1474,2015-08-02,93.43
User_1367,2017-01-23,90.42
User_1672,2017-03-01,95.17
User_1275,2018-10-30,93.49
User_472,2020-09-08,109.55
User_1022,2016-09-18,92.66
User_231,2021-09-29,95.17
User_304,2018-03-13,90.36
User_1042,2018-10-16,103.0
User_1265,2017-06-25,92.59
User_1471,2016-06-27,105.14
User_541,2022-04-24,106.19
User_677,2017-11-09,93.23
User_507,2024-01-28,104.44
User_742,2022-02-08,97.65
User_1433,2017-07-31,108.61
User_1000,2019-06-09,99.53
User_378,2017-01-06,104.57
User_1017,2021-10-17,93.04
User_532,2020-12-09,107.92
User_490,2019-06-25,97.52
User_496,2017-07-28,108.73
User_612,2014-11-08,104.68
User_754,2015-09-22,95.37
User_1907,2022-08-01,103.52
User_1583,2022-09-15,97.9
User_26,2021-05-14,98.92
User_398,2019-05-03,99.22
User_1256,2019-06-08,104.41
User_1911,2020-08-10,91.47
User_710,2020-08-21,107.28
User_1873,2015-12-19,104.38
User_61,2020-09-28,98.4
User_1668,2015-09-28,94.6
User_831,2015-02-10,105.7
User_500,2019-05-08,102.31
User_419,2021-07-19,91.26
User_1099,2015-04-05,96.13
User_418,2014-08-03,93.72
User_346,2023-12-27,109.72
User_1080,2020-05-19,103.95
User_168,2020-05-07,105.65
User_803,2016-09-11,92.07
User_1832,2021-03-17,94.35
User_473,2022-11-12,92.91
User_17,2020-06-19,107.01
User_1619,2021-09-06,101.06
User_1062,2015-01-07,91.18
User_332,2019-10-17,101.01
User_631,2015-01-05,100.51
User_332,2018-10-01,95.46
User_1418,2019-08-10,96.66
User_1853,2016-10-12,92.32
User_755,2017-10-30,97.09
User_1563,2021-10-27,105.4
User_712,2016-02-08,108.84
User_1215,2016-02-05,108.28
User_118,2016-07-30,108.67
User_569,2015-05-02,97.69
User_1387,2014-08-22,108.57
User_137,2019-12-23,100.72
User_1087,2014-06-27,100.7
User_1239,2019-07-23,97.44
User_650,2022-07-11,105.84
User_1864,2023-05-06,92.22
User_536,2024-03-16,100.93
User_1568,2016-05-17,102.18
User_1087,2014-10-10,106.57
User_1672,2022-01-11,92.32
User_1393,2015-10-17,96.17
User_1397,2022-10-11,91.73
User_1839,2023-02-10,102.19
User_1591,2017-03-28,99.55
User_890,2023-01-18,107.87
User_284,2015-09-18,103.67
User_385,2016-07-17,90.7
User_1451,2020-11-24,98.43
User_423,2019-05-25,100.98
User_1129,2016-04-18,109.44
User_1780,2022-10-02,95.39
User_1252,2017-10-02,95.51
User_888,2023-04-23,105.13
User_1338,2018-11-26,99.53
User_417,2022-05-04,109.04
User_1756,2022-10-27,104.67
User_774,2020-07-25,109.66
User_1986,2014-11-27,108.54
User_286,2017-10-11,96.59
User_1292,2021-04-15,105.83
User_1329,2022-06-25,96.86
User_1584,2021-09-24,91.41
User_1848,2024-03-12,92.81
User_609,2019-02-26,102.53
User_1868,2022-05-26,94.26
User_1268,2014-10-11,91.36
User_768,2017-06-08,97.81
User_1794,2020-06-16,101.83
User_678,2017-05-29,101.74
User_1933,2015-10-09,100.69
User_356,2017-09-01,95.97
User_1838,2017-06-25,101.74
User_1763,2020-12-17,106.54
User_616,2019-07-07,102.4
User_76,2014-11-19,95.75
User_1794,2023-10-11,100.44
User_582,2018-11-14,106.35
User_1806,2015-09-17,103.98
User_1908,2020-09-09,93.07
User_495,2019-10-30,97.14
User_1017,2020-07-18,107.86
User_868,2021-09-13,105.5
User_311,2019-03-24,96.66
User_58,2016-09-13,94.77
User_579,2017-09-27,96.25
User_259,2020-05-31,108.51
User_804,2019-01-19,105.9
User_36,2020-09-18,108.61
User_420,2023-09-02,103.12
User_6,2022-08-20,109.46
User_963,2016-09-20,100.09
User_1968,2022-10-08,94.66
User_35,2017-01-03,99.53
User_357,2016-04-15,95.33
User_44,2023-12-06,108.51
User_594,2017-09-21,104.18
User_1540,2017-04-12,95.41
User_1529,2016-12-31,99.41
User_1454,2019-07-04,106.68
User_1701,2019-05-04,101.56
User_1349,2018-10-20,95.09
User_1509,2019-05-04,91.83
User_165,2018-12-29,92.41
User_382,2019-07-30,92.89
User_1719,2019-10-16,95.32
User_22,2019-05-19,98.88
User_965,2019-07-30,99.64
User_1779,2014-05-23,107.11
User_1143,2021-12-31,98.01
User_880,2019-04-06,104.08
User_1523,2015-01-23,95.48
User_723,2016-03-17,97.99
User_912,2022-11-26,92.18
User_1049,2024-01-04,91.46
User_847,2021-04-06,94.76
User_1685,2014-12-25,109.71
User_558,2016-01-23,95.82
User_678,2018-05-26,103.61
User_1406,2019-11-23,97.93
User_1280,2021-03-22,90.13
User_279,2022-12-29,106.24
User_679,2016-07-24,98.47
User_336,2017-09-14,91.54
User_761,2024-01-26,93.69
User_732,2018-12-23,90.79
User_152,2018-08-30,106.43
User_1239,2017-02-25,107.26
User_1672,2023-01-14,95.08
User_1525,2023-07-02,101.37
User_739,2015-08-13,102.87
User_1885,2018-07-15,93.66
User_1784,2016-01-07,101.01
User_1911,2016-11-14,104.37
User_775,2023-02-26,96.06
User_572,2014-05-28,103.1
User_1724,2024-01-18,98.82
User_1083,2024-02-27,99.77
User_507,2015-11-27,101.91
User_942,2017-05-26,109.86
User_6,2015-02-05,91.02
User_1694,2023-09-23,96.57
User_1164,2016-04-14,99.51
User_13,2020-12-14,94.36
User_1331,2021-11-07,99.31
User_1434,2015-08-21,108.84
User_76,2021-09-21,98.75
User_1397,2023-07-17,96.18
User_307,2014-12-17,90.83
User_1846,2021-03-09,106.14
User_911,2022-06-26,108.4
User_1353,2015-12-02,101.34
User_1911,2015-12-25,107.93
User_484,2021-08-10,94.86
User_867,2021-08-21,96.7
User_475,2018-10-03,97.36
User_1116,2024-04-24,95.13
User_1270,2019-12-03,107.31
User_1103,2015-09-16,97.96
User_93,2017-04-01,90.05
User_1485,2023-08-28,93.17
User_505,2022-03-25,98.12
User_1638,2016-09-01,108.91
User_1596,2022-05-04,105.71
User_776,2015-10-02,106.99
User_949,2017-08-10,90.18
User_479,2021-11-20,96.96
User_753,2024-04-27,98.46
User_282,2019-01-18,107.31
User_192,2022-12-16,97.72
User_892,2016-06-18,96.06
User_583,2023-01-16,98.84
User_505,2023-11-25,109.19
User_417,2023-08-22,96.02
User_397,2021-08-09,97.66
User_848,2021-01-16,103.64
User_1828,2019-06-10,93.01
User_1519,2018-10-15,109.98
User_1979,2016-08-07,92.85
User_373,2022-08-30,104.21
User_69,2021-02-23,98.56
User_352,2024-01-27,105.91
User_1123,2021-03-14,92.73
User_1731,2021-05-06,105.36
User_1553,2017-11-03,95.19
User_911,2024-01-30,102.22
User_1557,2019-12-16,94.53
User_801,2014-06-26,99.45
User_809,2016-07-15,95.32
User_1272,2017-08-10,101.8
User_1886,2022-11-16,95.02
User_1744,2020-02-24,98.8
User_1481,2015-08-26,94.63
User_772,2020-08-03,103.14
User_638,2023-11-05,106.67
User_1443,2021-12-24,101.57
User_1750,2019-07-11,96.02
User_1009,2015-12-19,109.45
User_77,2021-03-27,99.59
User_729,2018-11-29,109.91
User_988,2017-11-14,92.1
User_962,2016-10-20,93.94
User_1778,2016-02-09,96.41
User_1517,2021-04-22,91.81
User_918,2024-04-13,97.1
User_546,2016-07-30,107.33
User_696,2019-07-06,102.35
User_383,2020-01-23,98.24
User_1224,2022-12-12,101.77
User_1156,2015-07-05,108.47
User_589,2017-04-02,98.42
User_986,2023-02-19,97.56
User_999,2020-05-19,91.55
User_1479,2018-11-28,91.44
User_680,2021-11-14,94.37
User_1377,2024-04-04,96.41
User_692,2020-02-12,100.26
User_588,2018-08-07,91.51
User_1220,2021-06-29,106.52
User_274,2022-10-12,98.42
User_1195,2022-12-25,92.51
User_822,2022-07-24,105.35
User_1297,2014-11-27,101.23
User_322,2023-06-08,93.65
User_1794,2021-03-13,92.92
User_1101,2021-08-18,107.99
User_364,2021-04-16,107.72
User_586,2022-08-09,104.91
User_471,2016-05-17,107.78
User_887,2020-04-21,100.41
User_43,2014-12-11,95.42
User_1331,2014-09-21,91.66
User_987,2017-10-02,100.57
User_543,2019-10-17,103.38
User_1188,2023-11-13,108.29
User_1825,2018-12-21,100.75
User_571,2020-04-10,92.38
User_1453,2021-03-23,95.86
User_979,2017-04-01,91.45
User_1076,2022-09-12,92.09
User_827,2017-02-22,106.65
User_1995,2023-04-03,100.76
User_1968,2021-10-02,95.54
User_1432,2023-04-02,100.47
User_575,2017-07-25,109.29
User_489,2017-02-17,100.61
User_984,2015-08-09,99.13
User_453,2014-12-28,94.91
User_475,2017-03-06,95.78
User_499,2021-06-06,91.1
User_699,2018-02-13,101.93
User_604,2016-11-08,98.44
User_942,2021-11-02,93.4
User_1977,2015-12-17,93.74
User_1184,2023-12-18,91.96
User_267,2023-01-01,96.99
User_1389,2020-04-11,109.21
User_317,2020-07-30,107.83
User_508,2019-10-19,103.76
User_1073,2020-07-05,101.23
User_490,2023-11-04,102.74
User_1902,2020-04-08,101.29
User_239,2015-10-28,96.67
User_327,2018-11-03,91.53
User_1542,2023-09-14,104.46
User_861,2018-10-08,108.17
User_892,2019-07-26,99.05
User_700,2017-10-04,96.78
User_1951,2016-03-04,107.03
User_528,2020-05-14,102.22
User_367,2017-01-12,94.11
User_227,2014-07-11,102.25
User_1941,2015-07-26,93.19
User_1510,2019-01-28,91.67
User_1189,2019-05-24,96.94
User_1119,2023-03-20,91.41
User_440,2015-10-09,107.32
User_342,2015-11-10,93.59
User_1325,2017-01-18,100.64
User_141,2017-07-30,98.55
User_1669,2024-03-27,99.01
User_1126,2019-04-20,104.88
User_1267,2023-12-26,105.92
User_1807,2022-03-13,104.28
User_257,2019-03-13,96.25
User_725,2016-01-10,107.98
User_1562,2019-08-15,91.87
User_1913,2023-04-08,98.48
User_383,2018-09-26,94.1
User_1049,2018-10-18,98.7
User_1345,2016-04-02,104.6
User_1509,2020-08-08,106.86
User_247,2024-03-18,90.34
User_1064,2017-10-26,102.66
User_494,2014-05-30,96.04
User_1602,2023-08-27,98.42
User_1023,2018-02-03,94.99
User_1204,2014-07-04,90.5
User_904,2021-03-09,105.52
User_721,2019-03-10,107.0
User_1120,2016-09-17,109.81
User_630,2016-04-15,109.81
User_784,2021-11-26,96.23
User_1575,2022-10-10,92.89
User_1034,2014-09-02,106.08
User_429,2023-03-07,98.94
User_1668,2024-04-04,100.64
User_1726,2018-01-13,102.16
User_945,2021-05-15,100.27
User_1390,2022-08-19,93.3
User_386,2014-07-16,90.55
User_1880,2016-12-22,100.31
User_797,2016-11-12,100.66
User_373,2017-06-30,102.03
User_1307,2017-10-16,104.09
User_803,2018-07-22,101.69
User_966,2018-05-15,96.19
User_221,2023-12-05,101.91
User_1055,2022-12-09,107.69
User_454,2022-08-27,105.4
User_1248,2021-12-11,95.27
User_1541,2021-02-09,98.16
User_393,2021-12-29,109.69
User_721,2022-10-24,90.6
User_295,2016-08-06,100.78
User_581,2023-10-26,105.18
User_1591,2022-07-21,109.57
User_1566,2016-12-29,101.84
User_1749,2019-10-09,109.42
User_256,2016-10-30,100.25
User_1417,2023-03-15,97.64
User_1320,2018-01-17,105.17
User_705,2017-08-10,102.41
User_1096,2014-05-17,109.52
User_1359,2019-01-11,91.52
User_1136,2017-10-16,94.92
User_1870,2017-03-02,91.53
User_288,2018-04-10,101.2
User_1878,2020-06-20,108.9
User_1437,2021-02-04,108.0
User_826,2024-01-20,108.56
User_874,2017-01-15,98.42
User_1585,2018-08-11,100.69
User_917,2016-12-29,102.71
User_938,2024-04-10,93.59
User_1816,2018-09-26,108.65
User_1182,2018-05-19,108.69
User_44,2021-09-16,92.18
User_1206,2015-01-05,105.28
User_991,2018-10-08,107.58
User_1699,2021-11-28,95.37
User_921,2024-03-24,102.01
User_1188,2019-02-14,102.7
User_385,2022-01-23,103.28
User_1893,2023-09-23,102.57
User_1464,2014-10-14,90.53
User_1702,2014-06-26,100.14
User_506,2022-03-15,106.71
User_1322,2021-08-21,103.38
User_1333,2019-10-08,103.35
User_790,2014-08-30,96.1
User_1363,2019-04-21,90.5
User_1913,2020-01-21,102.69
User_1012,2020-05-07,100.99
User_1676,2020-05-02,102.44
User_1756,2023-10-18,104.11
User_951,2019-09-09,104.83
User_1654,2019-04-23,98.56
User_738,2016-03-26,99.69
User_1253,2017-12-19,101.48
User_690,2019-05-13,108.18
User_1564,2018-06-28,94.4
User_1291,2015-03-04,92.33
User_1623,2016-04-15,100.75
User_413,2014-11-14,94.68
User_625,2019-05-22,95.74
User_915,2023-12-08,92.61
User_1755,2024-02-20,93.65
User_1559,2020-07-28,109.53
User_1517,2015-04-12,92.0
User_1534,2020-11-06,98.61
User_761,2017-08-03,96.86
User_540,2015-04-07,108.94
User_1722,2019-04-13,101.14
User_812,2019-04-22,93.39
User_791,2019-11-23,103.46
User_1796,2018-07-24,95.81
User_288,2018-10-29,109.01
User_1502,2017-03-01,106.79
User_1363,2016-08-08,97.86
User_1750,2019-09-07,107.95
User_994,2024-01-03,104.4
User_1516,2018-07-27,104.18
User_1845,2023-08-15,98.24
User_1408,2017-01-27,91.0
User_51,2017-05-06,106.71
User_999,2016-09-03,104.12
User_1754,2023-04-20,93.49
User_588,2017-10-28,102.43
User_644,2024-02-08,97.27
User_1590,2016-02-14,96.74
User_135,2020-07-26,99.72
User_884,2017-04-18,99.37
User_1134,2021-03-02,108.13
User_1652,2014-11-11,106.16
User_1002,2022-05-27,108.11
User_1329,2016-01-08,101.32
User_170,2016-04-05,108.96
User_1780,2019-07-26,91.93
User_108,2022-09-17,105.87
User_1016,2016-12-24,98.41
User_865,2018-12-12,94.61
User_957,2021-05-21,101.9
User_1711,2016-01-10,90.65
User_725,2018-08-13,90.84
User_941,2018-11-02,101.27
User_369,2014-08-16,91.35
User_1429,2024-03-27,98.67
User_1557,2018-08-22,103.37
User_1954,2022-06-12,102.39
User_607,2018-08-09,103.44
User_816,2018-08-04,104.17
User_166,2023-12-25,95.64
User_1166,2020-05-22,109.62
User_49,2017-06-08,109.48
User_1954,2015-10-23,108.67
User_1516,2019-08-10,101.47
User_1777,2014-06-06,90.07
User_94,2023-10-19,100.08
User_143,2017-08-12,91.94
User_874,2019-07-01,108.71
User_56,2014-07-25,91.25
User_1653,2022-01-16,97.83
User_1141,2015-01-20,95.54
User_649,2020-04-12,108.48
User_418,2023-02-24,97.2
User_1655,2021-11-27,102.18
User_179,2016-01-01,109.66
User_622,2017-10-29,102.58
User_1470,2015-05-02,103.69
User_285,2016-05-26,92.61
User_1064,2021-09-17,107.62
User_1389,2023-04-10,102.36
User_1791,2020-12-03,107.92
User_947,2014-12-24,104.43
User_265,2022-08-30,103.95
User_1473,2015-11-12,99.63
User_1457,2014-07-29,92.5
User_35,2016-05-07,100.56
User_281,2020-03-21,96.86
User_1869,2021-04-03,106.75
User_1890,2023-02-21,100.57
User_1283,2022-02-21,98.68
User_739,2020-10-02,103.88
User_240,2016-09-29,96.39
User_592,2019-09-29,95.25
User_1827,2018-08-15,105.05
User_1978,2020-03-18,101.04
User_610,2015-03-28,96.91
User_640,2015-02-05,103.8
User_1694,2021-04-09,106.04
User_510,2022-06-11,92.02
User_1707,2019-07-16,105.7
User_428,2024-02-19,92.12
User_1081,2023-11-30,100.53
User_1973,2016-08-14,98.7
User_1241,2021-08-14,95.38
User_773,2017-01-22,109.12
User_1213,2015-05-25,93.01
User_1602,2018-07-20,97.87
User_1379,2016-09-12,93.71
User_1323,2019-06-06,98.09
User_1383,2018-12-13,96.18
User_470,2023-12-17,97.88
User_667,2016-12-09,95.22
User_1595,2021-04-17,97.39
User_1376,2018-06-09,95.68
User_1813,2023-04-22,108.17
User_543,2023-01-13,91.0
User_668,2022-11-06,108.64
User_1314,2016-04-02,101.32
User_1847,2022-07-01,104.07
User_1999,2021-07-17,99.51
User_319,2016-02-09,95.45
User_1947,2020-03-25,108.64
User_1303,2015-06-28,98.24
User_1312,2019-08-27,92.16
User_1959,2021-08-31,100.98
User_792,2015-03-25,106.35
User_1358,2016-06-23,97.97
User_1441,2017-03-29,98.17
User_1865,2018-11-26,108.74
User_1086,2022-12-24,90.27
User_1372,2014-10-13,94.36
User_476,2015-05-20,95.81
User_1802,2015-07-22,93.97
User_976,2018-10-26,102.92
User_572,2014-06-24,108.94
User_1494,2016-05-29,97.77
User_33,2022-11-10,95.08
User_1155,2021-05-08,109.58
User_176,2015-01-14,105.91
User_1382,2015-10-30,91.09
User_12,2018-05-29,105.84
User_1819,2015-01-22,101.93
User_308,2015-01-06,106.26
User_745,2017-08-15,96.29
User_1570,2023-07-29,107.25
User_164,2014-09-20,99.72
User_880,2019-12-31,95.92
User_15,2024-04-07,93.64
User_897,2017-09-04,104.47
User_1624,2017-06-27,91.65
User_1696,2020-04-26,100.05
User_208,2015-08-07,90.87
User_1265,2020-04-24,91.09
User_1585,2017-09-10,91.49
User_187,2021-09-26,106.79
User_226,2017-03-12,101.82
User_742,2021-01-12,94.43
User_1536,2019-07-26,102.68
User_598,2018-11-02,101.63
User_539,2022-05-19,97.48
User_309,2014-06-05,97.07
User_1800,2016-03-27,107.23
User_1916,2016-05-14,96.94
User_1261,2024-02-20,107.55
User_244,2024-03-10,103.66
User_882,2019-06-12,105.9
User_434,2024-01-25,98.22
